date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2019-01-01,85055.84141,20363.58304,31990.94815,5382.06808,88048.94196,34792.73749,5822.1557,175466.48206,225243.03207,222619.19374,84641.53344
2019-02-01,6669.62402,3706.20038,1495.98443,459.24347,4094.64813,3402.94288,171.40125,13965.1377,14996.61148,20222.7426,8308.16558
2019-03-01,17663.05142,3997.99293,6302.78815,1148.1038,24401.09789,8579.88206,340.68641,31905.25534,35356.18506,38243.45493,13264.53421
2019-04-01,35187.5524,6937.53996,8570.83716,2930.18594,27133.23085,11606.67515,484.82474,46635.75968,37129.7411,149454.86373,26422.71193
2019-05-01,43624.38261,9124.7464,13136.60608,4115.72824,29957.77665,13928.74943,730.52014,59534.7104,39630.79845,165398.76752,31814.53412
2019-06-01,52630.12276,11643.62541,16029.69732,5271.28701,33463.15145,16575.67572,896.13486,81718.90918,44424.54689,180134.42164,41791.51263
2019-07-01,59204.88129,14011.3057,18460.19869,7334.39717,36682.23235,18087.63572,1210.5348,91999.81476,57122.43086,194167.47621,80347.89011
2019-08-01,94737.9513,20302.08038,22329.71183,12555.18523,48802.91093,19746.32788,2645.04146,107005.18854,62201.29368,208820.93524,118845.93012
2019-09-01,186332.57607,22818.32394,29870.00693,13499.44985,52485.39968,21849.30947,2921.53444,119882.98905,82586.13438999999,217747.33957,135569.17857
2019-10-01,207156.95836,23354.44855,65909.44086999999,14662.23108,55387.7397,23589.01925,3859.83351,132070.86781,91633.3545,230251.56777,138042.21553
2019-11-01,220685.62273,24593.81186,67654.10287,15404.59244,65992.6381,26907.14554,4705.20157,145091.23872,143917.24683999998,239952.13418,143433.10976999998
2019-12-01,613244.7832599999,25545.169390000003,70013.16428,16711.21332,73374.00149,33257.04062,5016.15554,158664.66457000002,156706.15716,252074.89882,157808.9044
2020-01-01,744906.3827300001,26583.12633,75846.27291,24616.743540000003,80642.52843,37175.08495,5294.21386,171206.24118,239734.09102,278685.95573,174075.30476
2020-02-01,13126.27649,2214.10401,32059.49278,187.72688,2657.39473,1221.85422,236.70617,9273.30533,23795.84015,16657.9696,7012.77051
2020-03-01,42229.23541,2819.07764,36772.53468,1514.02243,5510.01381,3327.69075,1127.05545,19402.66235,72639.64903,25095.01423,14156.85252
2020-04-01,64178.44628,4913.61615,38848.68896,1890.20712,6927.77039,4294.93748,1542.15373,31370.9037,103066.11901,147070.82126,105507.5024
2020-05-01,112731.80883,13418.225380000002,40163.57069,2343.74974,12581.71035,5413.8147,1771.17956,39026.503820000005,125966.24189,157647.76415,109498.93733
2020-06-01,143805.48896,19438.13772,42740.57278,3456.81445,18517.03805,7414.01854,2211.23678,48333.86044,144351.74079,165608.41399,113090.32194
2020-07-01,171349.54649,20555.96356,44465.34172,3587.98211,23983.32552,8340.16793,2368.72015,61891.38396,179255.09182,182396.91658,153679.70017
2020-08-01,188445.44081,21757.62937,48037.45006,5040.52514,28946.296960000003,9675.63711,2587.04484,83823.92654,214000.81285,191806.87529,164137.47178
2020-09-01,213574.48148,24666.44415,53154.193470000006,5261.21342,32758.689510000004,9540.06376,4634.984710000001,100116.31301,231561.90971,202520.52546,171289.8171
2020-10-01,253339.06736,26815.49295,57109.75266,5912.59159,35692.35976,10416.54423,4961.54957,112102.10724,289059.76385999995,217112.51613,173705.07193
2020-11-01,284303.3203,27835.98412,65230.7527,8735.91358,40009.59937,13110.41937,6277.40557,124157.18219,324306.92581,229975.51974,176605.63797
2020-12-01,300112.36625,28443.86807,76233.11667,12434.86726,46742.42525,14597.31671,7508.208619999999,132842.88251999998,350859.78199,242169.1458,183623.74182
2021-01-01,337726.50393,32521.00726,89863.47243,16264.53554,62340.47537,15545.45676,8472.879669999998,163123.13092,434895.11995,259983.23911,202542.63106
2021-02-01,42186.81601,591.84623,13618.657410000002,643.75099,5686.21552,1645.581,667.4585400000001,7845.2774,27564.20488,14658.39976,6416.740220000001
2021-03-01,87730.73761000001,3570.03848,26576.03413,9409.80563,10427.89872,8097.14153,1621.3313899999998,27944.14035,56240.6244,29803.0326,116924.9205
2021-04-01,146985.4237,7085.52996,46033.76259,11916.40405,74695.66015,15872.78869,3130.96061,45157.39635,202391.64055,155685.89813,206260.44005
2021-05-01,177229.25832999998,21158.08056,60659.37251,14985.22114,79417.74987,19511.8322,4033.57494,64970.05418000001,289527.83081,162765.01665,234916.22017
2021-06-01,193288.57585,21859.24809,73104.64708000001,17508.417250000002,86357.89414,23807.2168,4795.39345,74206.91199,312765.0025,166556.63177,293099.34267
2021-07-01,225231.50003,22010.83996,88795.46257,21732.4415,93358.65314,23581.19837,5447.64521,84649.5386,341262.41847,199208.32757,368887.6366
2021-08-01,245197.69885,24378.98948,103770.51328,23675.36639,104314.78538,25179.77474,8953.93675,93371.59953,368385.10436,215290.27647,529322.36423
2021-09-01,265341.23079,25289.85018,119413.67656,24795.50013,108604.48782,26559.42883,9668.17705,108542.43369,407438.99458,227202.07518,533808.66122
2021-10-01,340983.23425000004,26951.81533,140123.97506,26589.79788,114083.20958,27848.70436,10550.55058,121698.41433,435678.30047,247031.24362,537795.5631500001
2021-11-01,358844.04134,29393.9376,158895.83218000003,27177.41326,121742.09822,33767.75853,11514.29017,130563.34283999998,470397.28321,258126.98294,567565.65633
2021-12-01,390160.48564,29632.18678,179727.59691999998,27500.5763,130803.12053,41216.10835,16848.506100000002,144383.14432000002,526133.41828,274979.94226,739433.68367
2022-01-01,423603.23749,30170.83031,203719.61184,30074.59603,139400.74182,59600.58484,18351.70688,157732.58232000002,609460.16992,286156.56788,663621.8419199999
2022-02-01,24780.73702,856.18544,15287.04187,866.2059399999999,4774.44229,2470.03456,555.36931,12257.70091,23216.43479,24974.66644,15751.48299
2022-03-01,43936.60238,1612.6600600000002,32492.988599999997,1712.22746,13331.59012,4852.384599999999,2204.62249,19615.80489,44803.11346,34249.586090000004,23544.19402
2022-04-01,99946.65977,3772.48727,35763.99825,3505.70565,14198.77154,6186.82361,2397.63694,20151.79286,51626.22237,164135.99098,39687.68485
2022-05-01,112611.04177,3820.38044,40102.00339,3979.48455,17036.87395,9298.86422,2797.04352,21666.66469,59489.60362,166123.31685,67023.11422
2022-06-01,115263.64273,3864.16116,48939.30909,17580.73932,18722.52705,9494.34769,3300.03724,22620.71179,64838.8306,166700.82450999998,84000.91365
2022-07-01,223796.47034,4889.6623,60365.46308,17837.443199999998,56437.72856,17018.46989,3698.51643,29220.7889,71091.49139,185878.25419,118478.99275
2022-08-01,235783.40131,5100.69021,72219.61089,18405.6462,75931.32008,22207.65979,4722.30029,32462.28421,98019.13442,211959.78612,133404.06604
2022-09-01,244565.04859,5367.48049,82288.48397,18615.91071,80276.67902,38498.85417,5427.21131,37199.06046,111067.83656,218039.45157,159646.34387
2022-10-01,253904.21541,9010.24944,92354.40672,20213.98159,83563.16605,38654.92912,6505.42673,41064.69368,128190.12308,222634.82848,755725.1675600001
2022-11-01,262528.50797000004,11518.44439,102238.44454,21227.00058,96731.30601,43557.56572,7582.10579,43489.37604,141319.82216,229254.00257,768542.02511
2022-12-01,464328.73322,12906.35225,114362.82576,24003.6244,101247.92313,44702.21605,8414.98632,47102.61469,150466.77381999997,233042.41773,862359.28249
2023-01-01,611809.26757,14077.02493,132889.43609,32278.52286,113345.86882,48934.48196,9290.28208,53144.33741,206496.61329,276119.62808,868512.84526
2023-02-01,18566.14265,168.34339,15843.12784,564.57983,16855.73145,5670.23301,1072.02206,2359.92471,9643.12331,11806.88678,11013.1546
2023-03-01,28427.73412,376.09666,30029.77045,2881.89423,20344.24062,9844.65828,1863.04156,4467.16105,42076.80116,18906.053150000003,34225.70966
2023-04-01,52051.75716,2461.12319,48188.092500000006,3978.7236,85749.25201000001,14941.27944,2325.41335,6477.61233,59344.54130999999,168854.54117,71395.05788
2023-05-01,81409.72521,4343.816580000001,73424.23964,5819.14188,97290.52993,17221.59878,3551.649,8699.94893,72751.54781,178330.19983,85659.40659
2023-06-01,498651.32402,4618.475079999999,99091.62602,6868.71562,113601.05256,19212.80353,6270.26731,23335.49405,98439.32693,184668.49329,98610.66288
2023-07-01,538650.4171699999,5875.54892,128257.93997,8151.62619,132609.97674,20490.24921,11856.853,40866.84119,118511.67384,207169.8261,116420.07376
2023-08-01,551979.42661,6669.12104,158911.04867000002,9679.5299,135374.64635,21258.79514,16067.07658,44848.13338,131902.89083,210705.19914,163779.39039000002
2023-09-01,565264.086,6858.2172,186181.94627,10831.46771,140505.22337000002,25995.3402,20867.963320000003,56952.09232,151160.90935,219595.46378,174644.18932
2023-10-01,596404.7692,12650.05039,217763.4409,15568.063520000002,153266.34123,28276.84858,24309.1019,59083.282,169375.091,225975.4677,216843.01442
2023-11-01,627383.33314,15077.07134,251998.16508,18833.11963,183942.31091,30582.56295,26876.56931,70277.10231999999,185312.07923,232900.5781,230726.58437000003
2023-12-01,640849.4786200001,15512.51313,279895.32675,36272.97234,202204.45737,32677.65276,34216.81848,76927.75282,197713.09874,240460.07512,247215.58227
2024-01-01,746312.69507,16271.988279999998,312727.8388,39998.34728,235783.1851,48690.72483,36358.24986,89133.46547000001,209652.62503,251927.86909,730542.04536
2024-02-01,13653.216219999998,1600.36562,29901.01713,2422.51627,3266.76231,3902.61119,1412.39777,5925.76211,28645.82606,38421.11989,39809.54961
2024-03-01,25360.61876,2285.11513,76056.07249,4449.4825,13499.42181,6059.9785600000005,2800.1107300000003,11107.84697,51324.66319,44176.81975,106248.7488